date,summary
2017-03-29T18:52:24Z,"@RabbitListener's @Exchange provides durable as false, meanwhile AbstractExchange is durable by default"
2017-03-23T09:55:09Z,AmqpRejectAndDontRequeueException does not stop the retry mechanism when TransactionManager is active
2017-03-22T07:42:19Z,Wrapped listener to Mockito Spy by RabbitListenerTestHarness do not work when tests are being run from maven build 
2017-03-16T12:51:54Z,BrokerRunning Rule - Use hostName with isBrokerAndManagementRunning()
2017-03-15T15:21:58Z,Bind the RoutingConnectionFactory key to SMLC Listener Threads
2017-03-11T21:08:18Z,Consumer count growing when not configured to do so
2017-03-11T07:45:27Z,Potential NPE parsing rabbit:listener-container
2017-03-06T21:25:59Z,Anonymous Queue in @RabbitListener.queuesToDeclare Does Not Work
2017-02-26T23:05:32Z,ChannelProxy Wrapper Should Not Refresh During Transaction
2017-02-25T20:42:05Z,ExchangeBuilder Sets Durable to False by Default
2017-02-25T16:56:09Z,Logback Appender Creates Location Data Unconditionally
2017-02-14T00:55:40Z,Fix MessagingMessageListenerAdapter.returnExceptions When Method Returns void
2017-02-05T14:06:15Z,AutorecoveringConnection.consumers leaked when killed a node of rabbitmq cluster
2017-01-26T14:06:36Z,NPE in RabbitTemplate When Server Does Not Populate CorrelationId
2017-01-23T20:59:30Z,SimpleMessageListenerContainerIntegration2Tests testDeleteOneQueue fails intermittently
2017-01-20T15:17:43Z,Bean creation slow
2017-01-20T13:01:03Z,RabbitListenerEndpointRegistry fails to shutdown if simultaneous with broker
2017-01-16T21:01:07Z,NPE in RabbitManagementTemplate
2017-01-12T20:10:39Z,RabbitManagementTemplate Support for Delayed and Internal Exchanges
2017-01-06T15:48:21Z,AsyncRabbitTemplate Does Not Stop Its Default Task Scheduler
2017-01-03T18:33:10Z,MessagingMessageListenerAdapter.invokeHandler() should include amqpMessage argument to the ListenerExecutionFailedException
2016-12-23T14:07:33Z,Add Diagnostics to LogBack Appender
2016-12-18T11:12:15Z,Fix race condition causing SimpleMessageListenerContainer to drop consumers to zero
2016-12-08T08:24:32Z,Container does not call rollbackOn
2016-12-07T21:42:23Z,Fix ImmediateAcknowledgeAmqpException Processing
2016-12-03T18:07:03Z,Fix Non-Managed DMLC with Spring-Managed Connection Factory
2016-12-02T02:53:53Z,Pom for spring-rabbit should update spring-amqp dependency.
2016-11-14T16:56:56Z,AmqpAppenderTests fail with Log4J 2.7
2016-11-08T15:13:31Z,1.6.4 released with snapshot dependencies
2016-11-06T12:34:42Z,MessageListenerContainerLifecycleIntegrationTests  testNonTransactionalHighLevel fails intermittently
2016-10-31T14:53:01Z,@Transactional is not considered in a @RabbitListener
2016-10-24T21:01:16Z,DMLC: Destroy Default Consumer Monitor on Context Destroy
2016-10-20T09:22:20Z,SimpleMessageListenerContainerIntegration2Tests testDeleteOneQueue fails intermittently
2016-10-19T13:13:25Z,NPE with null QueueName in SMLC
2016-10-18T16:54:13Z,Invalid GenericMessage requeued indefinitely
2016-10-17T14:54:43Z,SimpleAmqpHeaderMapper Skips Some Headers
2016-10-17T14:51:53Z,SimpleAmqpHeaderMapper doesn't map properly receivedUserId header
2016-10-15T00:25:46Z,Unable to refer to the default exchange using @Argument within a @RabbitListener
2016-10-08T02:53:08Z,RabbitMessagingTemplate doesn't take advantage of RabbitTemplate's registered converters
2016-09-28T12:43:57Z,Container Fails to Recover
2016-09-01T21:11:00Z,Don't Stop the Container on NoSuchMethodException
2016-08-18T15:48:45Z,Non Transactional RabbitTemplate Uses Container Transactional Channel
2016-07-22T13:35:26Z,CachingConnectionFactory onClose notification
2016-07-11T12:19:26Z,CachingConnectionFactoryIntegrationTests.hardErrorAndReconnect fails intermittently
2016-07-05T23:05:47Z,Spring AMQP Consumer pauses after running for sometime
2016-06-29T21:02:58Z,Concurrency issues with SimpleMessageListenerContainer.addQueueNames
2016-06-22T07:43:52Z,Fail to find handler method when Spring Devtools restart is enabled (default behavior)
2016-05-30T13:49:03Z,SimpleMessageListenerContainer does not support @Lazy annotation
2016-05-26T20:38:35Z,SimpleRetryPolicy: retrayableExceptions not working for java.lang.Error and java.lang.RuntimeException
2016-05-19T06:24:36Z,IO Platform build fails with NPE in Log4J during compilation
2016-04-21T07:10:23Z,Deadlock during bean init
2016-04-15T17:59:37Z,RabbitAdmin Exception when there are beans of type Collection declared with @JobScope 
2016-04-05T18:24:47Z,sdfdfsdsdfdfsdsdfdfsdsdfdfsdsdfdfsdsdfdfsdsdfdfsdsdfdfsdsdfdfsd
2016-04-01T13:32:58Z,@RabbitListener with autoStartup=false will never start	
2016-03-24T08:32:14Z,@RabbitListener creates two listener instances if annotated method is implementing interface method
2016-03-18T10:03:37Z,CachingConnectionFactory leaks channels when using channelCacheSize & channelCheckoutTimeout settings
2016-03-04T12:12:23Z,Build still fails Intermittently due to non-thread-safe use of Mockito
2016-03-01T14:40:58Z,Channel Leakage on Queue Name Too Long Exception
2016-02-23T17:29:31Z,Make RabbitListenerTestHarness getSpy public
2016-02-23T17:25:31Z,spring-rabbit-test LatchCountDownAndCallRealMethodAnswer countdown'ed too soon
2016-02-11T12:32:58Z,custom configuration of ConnectionFactory does not work on CloudFroundry
2016-02-10T13:31:41Z,"@RabbitHandler causing ""No method found for class [B"""
2016-02-09T16:04:43Z,Send of message via tx-channel is commited early with (JTA) transaction and TransactionTemplate
2016-02-09T13:36:45Z,squid:S1854 - Dead stores should be removed
2016-02-09T01:18:43Z,SimpleAmqpHeaderMapper does not handle org.springframework.util.MimeType
2016-01-26T21:21:37Z,NPE in RabbitAdmin
2016-01-25T15:36:22Z,Pending Confirms not nacked if close is detected in logicalClose
2016-01-19T23:29:19Z,Add mismatchedQueuesFatal to SimpleMessageLIstenerContainer to Detect Mismatched Queue Arguments
2016-01-13T17:23:50Z,AmqpAppender causes application error when declareExchange=true and no RabbitMQ connection available
2015-12-18T16:03:10Z,NPE in SMLC (Recoverable)
2015-11-30T11:21:31Z,Intermittent build failure caused by non-thread-safe use of Mockito
2015-11-16T19:40:19Z,Typo in the ContentTypeDelegatingMessageConverter method names
2015-11-14T00:54:00Z,Closing the CachingConnectionFactory at application context close is too abrupt
2015-10-26T19:10:08Z,"CachingConnectionFactory: Race condition around ""connection"" property"
2015-10-16T02:03:50Z,Class-level @RabbitListener causes INFO log message about NullPointerException
2015-10-09T21:33:11Z,@Header and @Payload Annotations Not Recognized on Proxy
2015-10-09T19:36:49Z,RabbitListenerAnnotationBeanPostProcessor cannot find Class-Level @RabbitListener annotations on beans with @Transactional annotations
2015-10-08T06:30:41Z,consumer does not reconnect when i limit task executor in SimpleMessageListenerContainer 
2015-09-15T12:51:58Z,@PreDestroy not honored by @RabbitListener components/ConnectionFactories
2015-09-03T20:40:54Z,ConcurrentModificationException in PublisherCallbackChannelImpl
2015-08-14T14:19:03Z,BackPort AMQP-519 and AMQP-496
2015-08-12T08:24:14Z,Fix Class Tangle
2015-08-08T10:24:28Z,Shut Down DeferredCloseExecutor in CachingConnectionFactory
2015-08-06T08:35:04Z,rabbit:listener-container is not using the provided id
2015-08-06T01:25:34Z,"Setting autoDelete or exclusive to anything, including ""true"" in @Queue without a queue name results in them being disabled"
2015-07-15T16:05:28Z,Direct Reply-To requires separate connection
2015-06-28T07:56:30Z,Admin Hang After IllegalArgumentException on declareQueue()
2015-06-26T13:51:22Z,ConcurrentModificationException on RabbitTemplate.getUnconfirmed()
2015-06-19T03:02:33Z,Fanout binding is not created due to missing routing key
2015-06-01T10:14:07Z,Add Docs for ConsumerTagStrategy
2015-05-26T10:45:19Z,Enable SSL Protocol Selection When Not Using Certificates
2015-05-12T00:50:49Z,Dynamic Consumer Adjustment Does Not Work when Channel is Transacted
2015-05-08T08:03:04Z,Some threads are not interrupted when Workers did not finish before shutdownTimeout
2015-04-21T12:11:56Z,createBareConnection logs an error
2015-04-09T05:00:16Z,Normal closes are logged as error
2015-04-07T22:52:56Z,Queue name containing ${random.value} can not be bound to an exchange binding
2015-04-02T15:04:10Z,NPE encountered when one Rabbit server in HA cluster went down
2015-03-09T05:13:35Z,Fix javadoc for SimpleMessageListenerContainer's setConcurrentConsumers method
2015-03-05T04:49:32Z,PRECONDITION_FAILED on two queues with different TTL
2015-03-02T05:28:36Z,@RabbitListener cannot be a scoped proxy
2015-02-19T00:51:04Z,Send of message via tx-channel is commited early when external (JTA) transaction is present
2015-02-18T16:33:00Z,Invalid property documentation in RabbitMQ XSD
2015-02-06T11:32:26Z,Occasional Log Appender Test Failures
2015-01-29T06:08:34Z,Early Exit Queue Declaration on a Connection Reset
2015-01-27T20:16:35Z,Connection Reset on basicQos Should Not Be Fatal
2015-01-21T02:59:57Z,Thread safety of ErlangTemplate
2015-01-19T08:55:52Z,RabbitTemplate.convertAndSend is hanging occasionally
2015-01-06T09:15:04Z,Log4j dependency should be optional
2015-01-05T09:46:22Z,PublisherCallbackChannelImpl Incompatible with JRockit
2014-12-11T02:08:07Z,AmqpInvokerServiceExporter: wrap exceptions to the RemoteInvocationResult
2014-11-27T19:42:03Z,AbstractConnectionFactory.setAddresses(String) should ignore empty string
2014-11-24T10:08:17Z,Spring-rabbit dependency on log4j should be optional in pom
2014-10-31T00:44:20Z,ConditionalRejectingErrorHandler.DefaultExceptionStrategy catches only org.springframework.amqp.support.converter.MessageConversionException
2014-10-21T05:21:17Z,convertAndSend() methods can throw MessageConversionException but that's not documented
2014-10-10T02:07:28Z,Default MessagePropertiesConverter should convert LongString values nested in lists
2014-09-01T07:36:16Z,Allow value expressions for messaging listener annotation destinations
2014-08-12T04:44:40Z,RabbitTemplate Memory Leak with Publisher Confirms/Returns
2014-07-15T19:30:55Z,Error creating RabbitMQ Connection Factory
2014-06-05T06:41:04Z,Direct exchange binding default routing key fails on queue name with dot char
2014-05-26T07:15:39Z,Prefetch count = 0 after passive declare failure in BlockingQueueConsumer
2014-05-16T13:17:53Z,Restore Listener Exception Logging; Add WARN Log to AmqpRequestAndDontRequeueRecoverer
2014-05-05T11:45:53Z,Spring AMQP should be an abstraction and should not show underlying details.
2014-04-19T21:09:30Z,Misleading Javadoc for AmqpAppender
2014-03-29T23:23:24Z,org.springframework.retry Listed as Optional Maven Dependency
2014-03-27T06:35:40Z,Possible deadlock condition in org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer#restart
2014-03-26T13:12:20Z,AmqpRejectAndDontRequeueException kills pub-sub-channel consumer
2014-03-13T07:35:28Z,Fix NPE in Test Case
2014-03-08T02:23:06Z,Bindings are not re-established after re-creating anonymous queues
2014-02-26T03:33:24Z,ConcurrentModificationException on HashMap$HashIterator.nextEntry when SimpleMessageListenerContainer#queuesChanged()
2014-02-21T07:22:58Z,Memory leak with SimpleMessageListener under certain conditions
2014-02-04T05:59:40Z,MessageBuilderSupport has wrong visibility
2014-01-23T05:10:42Z,MessageProperties Change to Support Builder API Breaks User Apps
2014-01-22T09:43:10Z,AmqpAppender appends throwable information even when layout handles it
2014-01-22T01:00:04Z,Cannot download spring amqp 1.2.1.RELEASE from springsource repository
