name,release_date,released
1.0.0.M1,2010-07-15,1
1.0.0.M2,2011-01-04,1
1.0.0.M3,2011-03-07,1
1.0.0.RC1,2011-04-01,1
1.0.0.RC2,2011-06-27,1
1.0.0.RC3,2011-08-09,1
1.0.0 GA,2011-08-24,1
1.1.0.GA,2012-05-11,1
1.1.1,2012-05-31,1
1.2. Backlog,2013-01-31,0
1.1. Backlog,2012-12-31,0
1.1.2,2012-08-23,1
1.1.3,2012-11-06,1
1.1.4,2013-03-05,1
1.2.0.M1,2013-04-01,1
1.2.0.RC1,2013-06-20,1
1.2.0.GA,2013-07-12,1
1.2.1,2014-01-13,1
1.3.0.M1,2014-01-10,1
1.3.0.M2,2014-01-30,1
1.3.0.RC1,2014-03-07,1
1.2.2,2014-03-27,1
1.3.0 GA,2014-03-27,1
1.3.1,2014-03-30,1
1.3.2,2014-04-24,1
1.3.3,2014-05-14,1
1.3.4,2014-05-29,1
1.3.5,2014-06-27,1
1.4 M1,2014-09-04,1
1.3.6,2014-09-04,1
1.4.RC1,2014-10-23,1
1.3.7,2014-11-11,1
1.4 GA,2014-11-11,1
1.3.8,2015-01-08,1
1.4.1,2014-12-12,1
1.4.2,2015-01-08,1
1.3.9,2015-02-02,1
1.4.3,2015-02-02,1
1.5 M1,2015-05-07,1
1.4.4,2015-04-03,1
Waiting for Triage,2020-02-01,0
1.4.5,2015-05-07,1
1.5 RC1,2015-08-14,1
1.4.6,2015-10-02,1
1.5 GA,2015-09-09,1
1.5.1,2015-10-02,1
1.5.2,2015-11-13,1
1.5.3,2015-12-23,1
1.6.1,2016-07-18,1
1.5.4,2016-02-12,1
1.6 M1,2016-02-12,1
1.6 M2,2016-03-24,1
1.5.5,2016-03-24,1
1.6 RC1,2016-04-22,1
1.6 GA,2016-05-06,1
1.5.6,2016-05-06,1
1.6.2,2016-08-31,1
2.0.M1,2016-11-30,1
1.6.3,2016-09-28,1
1.6.4,2016-11-07,1
2.0.M2,2017-01-04,1
1.6.5,2016-11-08,1
1.7 RC1,2016-12-27,1
1.6.6,2016-12-21,1
1.6.7,2017-01-19,1
1.7 GA,2017-01-19,1
1.7.1,2017-03-01,1
1.6.8,2017-03-01,1
2.0 RC1,2017-05-24,0
2.0 M3,2017-04-04,1
1.7.2,2017-04-10,0
1.6.9,2017-04-10,0
2.0 M4,2017-04-27,0
