date name_first_line
2017-03-29T21:05:36Z "AMQP-733: @Exchange.durable() to true by default"
2017-03-29T18:01:51Z "AMQP-731: @RabbitListener support custom exchange"
2017-03-28T19:55:42Z "AMQP-723: Improve Javadocs for Recovery Exceptions"
2017-03-28T14:14:30Z "GH-589: Make Jackson2JsonMessageConverter robust"
2017-03-27T13:57:08Z "Downgrade to SF-5.0 M5"
2017-03-26T01:01:37Z "Fix JIRA link in docs and a couple typos"
2017-03-23T00:17:16Z "Upgrade to Hop-1.2.0"
2017-03-20T13:26:37Z "More MessagePropertiesTests: delay, contentType"
2017-03-17T18:00:14Z "sync access to DMLC.consumers in scheduled task"
2017-03-16T20:19:52Z "AMQP-728: Fix Logging Dependencies"
2017-03-16T19:34:38Z "AMQP-728: Make BrokerRunning More Configurable"
2017-03-16T15:54:03Z "AMQP-727: RoutingConnectionFactory Fixes"
2017-03-15T15:35:08Z "Improvements for BindingBuilderTests"
2017-03-15T01:10:55Z "Remove overridden DMLC methods accepting Queue"
2017-03-14T16:59:28Z "Use controlled atomic for the `isOpen()` stub"
2017-03-14T16:51:53Z "Use controlled atomic for the `isOpen()` stub"
2017-03-14T15:29:16Z "AMQP-724: Fix NPE for rabbit:listener-container"
2017-03-14T14:40:46Z "Fix tearDown method in testing.adoc code example"
2017-03-14T13:03:38Z "Update JIRA link in contributing guide."
2017-03-14T01:31:09Z "AMQP-726: Fix for ChannelProxy; Polishing"
2017-03-13T18:47:18Z "AMQP-726: Always Cancel Auto Recovering Consumers"
2017-03-13T16:05:49Z "Minor optimization Message.toString()"
2017-03-08T19:54:50Z "AMQP-722: Support >1 Routing Keys in @QueueBinding"
2017-03-08T14:36:38Z "Restrict memory usage for tests on Travis"
2017-03-06T19:43:04Z "Fix Anonymous queues support in RabbitListener"
2017-03-06T15:54:04Z "Use shared Base64UrlNamingStrategy.DEFAULT"
2017-03-06T15:21:01Z "AMQP-720: Drop UniquelyNamedQueue"
2017-03-02T15:10:31Z "AMQP-719: upgrade to Logback 1.1.11"
2017-03-01T18:54:45Z "Lockback Appender Doc Polishing"
2017-03-01T15:47:27Z "AMQP-717: RabbitTemplate Invoke Method"
2017-02-27T22:45:44Z "AMQP-715: Logback AmqpAppender.includeCallerData"
2017-02-27T20:27:19Z "CheckStyle: JavaDoc"
2017-02-27T17:02:24Z "AMQP-716: ExchangeBuilder and Durable"
2017-02-27T16:37:44Z "AMQP-718: Fix Channel Close During Transaction"
2017-02-23T21:26:16Z "AMQP-714: Improve MessageProperties.toString()"
2017-02-21T15:41:28Z "Polish BrokerRunning @Rule"
2017-02-20T17:44:41Z "Fix Test Race Conditions"
2017-02-20T14:11:10Z "Update Docs to Reflect the 4.1.0 Client"
2017-02-20T13:57:08Z "AMQP-713: add channel RPC timeout setting"
2017-02-20T13:47:10Z "Upgrade RabbitMQ Java Client to 4.1.0"
2017-02-16T00:02:53Z "AMQP-711: Make Transaction Rollback Consistent"
2017-02-14T18:29:03Z "AMQP-710: Fix Exception Return From Void Method"
2017-02-07T22:06:03Z "AMQP-709: Disable Auto Recovery By Default"
2017-02-07T17:41:42Z "Fix asciidoc markup formatting for inline code"
2017-02-06T22:10:33Z "AMQP-708: Fix Leaked AutoRecovered Channel"
2017-02-06T18:31:18Z "AMQP-617: Don't Alias Queue and Exchange Name Attr"
2017-02-02T21:23:03Z "Upgrade to Hop-1.1.1"
2017-01-31T22:01:34Z "AMQP-706: Improve DefaultClassMapper Documentation"
2017-01-31T15:20:02Z "AMQP-705: Use Asser.state Supplier Variant"
2017-01-31T00:34:28Z "AMQP-705: Properly use `Assert` class from SF"
2017-01-24T20:43:50Z "AMQP-703: Add Connection Name to Cache Properties"
2017-01-20T20:23:22Z "AMQP-700: ListenerEndpointRegistry: proper stop"
2017-01-20T19:20:22Z "AMQP-701: @RabbitListener BPP Performance"
2017-01-20T15:04:30Z "Doc Copyright 2017"
2017-01-19T16:08:05Z "AMQP-697: Add CorrelationDataPostProcessor"
2017-01-17T16:49:32Z "AMQP-699: Suppress Stack Trace in RabbitAdmin"
2017-01-16T21:30:44Z "AMQP-698: Fix NPE in RabbitManagementTemplate"
2017-01-13T21:15:00Z "AMQP-697: CorrelationAwareMessagePostProcessor"
2017-01-12T21:38:29Z "AMQP-696: RabbitManagementTemplate Fix"
2017-01-11T15:00:21Z "Sonar Fixes"
2017-01-11T14:20:31Z "AMQP-693: Polishing"
2017-01-10T23:26:38Z "AMQP-693: AsyncRabbitTemplate TaskScheduler Fixes"
2017-01-09T21:17:26Z "AMQP-694: Upgrade to Mockito 2.5.4"
2017-01-04T21:13:06Z "[artifactory-release] Next development version"
2017-01-04T21:13:02Z "[artifactory-release] Release version 2.0.0.M2"
2017-01-04T19:22:48Z "Prepare for Milestone Release"
2017-01-03T19:21:29Z "AMQP-692: Fix MessagingMessageLA missed argument"
2016-12-30T00:30:51Z "Fix CheckStyle ""Whitespace around"" violation"
2016-12-30T00:24:39Z "DirectReplyToMLContainerTests race condition"
2016-12-29T23:26:51Z "Various Test Performance Fixes"
2016-12-29T17:31:56Z "AMQP-675: Fix RabbitConverterFuture race condition"
2016-12-23T21:10:01Z "Add logging diagnostic to DirectRToMLContTests"
2016-12-23T19:24:59Z "AMQP-688: Remove Jackson 1 Support"
2016-12-23T15:15:45Z "AMQP-691: Detect Missing Logback Layout"
2016-12-21T14:16:10Z "AMQP-690: Fix Remaining Tests"
2016-12-20T21:23:27Z "AMQP-690: Fix active consumers race condition"
2016-12-16T21:54:19Z "AMQP-675: RabbitTemplate - Add Typed Returns"
2016-12-16T18:32:46Z "AMQP-689: Support skipServerCertificateValidation"
2016-12-14T16:48:02Z "Fix AmqpAppCtxClosedE race condition in the DMLC"
2016-12-14T16:24:25Z "AMQP-687: Fix Conditional Rollback"
2016-12-13T16:06:25Z "Proper Fix for 2c0844ae2a19771e16fdb..."
2016-12-09T17:44:28Z " Add checkStyle to the `testAl` Gradle task"
2016-12-09T00:18:28Z "One more catch for `AmqpIOException`"
2016-12-08T22:48:31Z "Catch `AmqpIOException` for stopping container too"
2016-12-08T21:02:29Z "AMQP-682: DMLC: Fatal Connection Error"
2016-12-08T20:49:42Z "AMQP-683: Update javadocs to latest versions"
2016-12-08T20:49:13Z "AMQP-685: Use Supplier variants of Spring-Framework's core Assert utility"
2016-12-07T16:39:47Z "BrokerRunning Sonar Fixes"
2016-12-05T15:01:27Z "Fix Another Test Race Condition"
2016-12-03T20:30:58Z "Fix Sonar Detected Bad instanceof Check"
2016-12-03T17:19:52Z "Fix testHardErrorAndReconnectAuto Test"
2016-12-03T16:14:24Z "Test Diagnostics"
2016-12-02T20:05:09Z "AMQP-678: Move BrokerRunning @Rule to junit Jar"
2016-12-01T20:37:39Z "AMQP-680: Avoid allocations from Method.getParameterTypes() in MessagingMessageListenerAdapter"
2016-11-30T15:49:36Z "[artifactory-release] Next development version"
2016-11-30T15:49:33Z "[artifactory-release] Release version 2.0.0.M1"
2016-11-30T15:13:41Z "Upgrade to amqp-client 4.0.0 GA"
2016-11-30T14:48:56Z "DMLC - Doc Polishing"
