date,name_first_line
2017-04-10T12:50:15Z,DATAREDIS-597 - Updated changelog.
2017-04-04T20:08:19Z,DATAREDIS-573 - After release cleanups.
2017-04-04T20:08:16Z,DATAREDIS-573 - Prepare next development iteration.
2017-04-04T19:12:35Z,DATAREDIS-573 - Release version 2.0 M2 (Kay).
2017-04-04T19:12:02Z,DATAREDIS-573 - Prepare 2.0 M2 (Kay).
2017-04-04T19:11:59Z,DATAREDIS-573 - Updated changelog.
2017-04-03T16:32:48Z,DATAREDIS-602 - Polishing.
2017-04-03T16:30:48Z,DATAREDIS-602 - Provide Reactive Redis Template.
2017-03-31T09:11:11Z,DATAREDIS-618 - Polishing.
2017-03-31T08:58:43Z,DATAREDIS-618 - Read number of sentinels via RedisServer from num-other-sentinels.
2017-03-24T09:14:31Z,DATAREDIS-595 - Adapt to API changes after Mockito 2.7 upgrade.
2017-03-24T09:14:23Z,DATAREDIS-595 - Adapt to API changes in Spring Data Commons.
2017-03-24T09:14:06Z,DATAREDIS-595 - Integrate DATACMNS Java 8 upgrade.
2017-03-13T08:47:58Z,DATAREDIS-617 - Polishing.
2017-03-13T08:47:44Z,DATAREDIS-617 - Remove dependency to org.codehaus.jackson.
2017-03-03T13:37:23Z,DATAREDIS-606 - Follow along cache contract not allowing misuse of put null value as cache evict strategy.
2017-03-02T10:11:06Z,DATAREDIS-598 - Updated changelog.
2017-02-01T14:04:27Z,DATAREDIS-599 - Remove references to single-argument assertion methods of Spring.
2017-01-26T11:12:38Z,DATAREDIS-586 - Updated changelog.
2017-01-26T11:12:10Z,DATAREDIS-587 - Updated changelog.
2017-01-23T07:37:09Z,"DATAREDIS-594 - Update ""what’s new"" section in reference documentation."
2017-01-20T10:30:47Z,DATAREDIS-593 - Use Enum.name() to represent enum values.
2017-01-20T09:22:11Z,DATAREDIS-592 - Simplify test code in RedisCacheUnitTests.
2017-01-20T09:21:53Z,DATAREDIS-592 - Consider expiry timeout in synchronized RedisCache mode.
2017-01-13T10:50:20Z,DATAREDIS-591 - Update project documentation with the CLA tool integration.
2017-01-13T09:29:55Z,DATAREDIS-564 - Polishing.
2017-01-13T09:29:44Z,DATAREDIS-564 - Delegate expire(…) to pExpire if timeout exceeds Integer.MAX_VALUE.
2017-01-12T14:01:59Z,DATAREDIS-589 -  Polishing.
2017-01-12T13:52:59Z,DATAREDIS-589 - Move secondary index cleanup to MappingExpirationListener.
2017-01-12T13:52:59Z,DATAREDIS-532 - Enhance JavaDoc and convert links to Redis documentation.
2017-01-12T13:52:53Z,DATAREDIS-563 - Migrate ticket references in test code to Spring Framework style.
2016-12-21T18:35:43Z,DATAREDIS-566 - Updated changelog.
2016-12-21T17:43:08Z,DATAREDIS-541 - Updated changelog.
2016-12-16T10:24:18Z,DATAREDIS-584 - Use newer Java 8 on Travis CI.
2016-12-15T15:24:34Z,DATAREDIS-583 - Adapt API in RedisRepositoryFactoryBean.
2016-12-05T16:08:29Z,DATAREDIS-579 - Register RedisRepositoryFactory in spring.factories.
2016-12-01T08:01:45Z,DATAREDIS-552 - Polishing.
2016-12-01T08:01:45Z,DATAREDIS-552 - Support client name configuration for JedisConnectionFactory.
2016-11-23T09:59:11Z,DATAREDIS-568 - After release cleanups.
2016-11-23T09:59:09Z,DATAREDIS-568 - Prepare next development iteration.
2016-11-23T09:35:49Z,DATAREDIS-568 - Release version 2.0 M1 (Kay).
2016-11-23T09:35:09Z,DATAREDIS-568 - Prepare 2.0 M1 (Kay).
2016-11-23T09:35:05Z,DATAREDIS-568 - Updated changelog.
2016-11-23T09:33:20Z,DATAREDIS-568 - Re-added release profile.
2016-11-17T19:17:10Z,DATAREDIS-525 - Polishing.
2016-11-17T19:17:05Z,DATAREDIS-525 - Upgrade to lettuce 5.0.0.Beta1.
2016-11-17T19:10:03Z,DATAREDIS-525 - Add support for ReactiveRedisConnection & ReactiveRedisClusterConnection.
2016-11-07T14:34:12Z,DATAREDIS-567 - Remove Support for SRP and JRedis.
2016-11-07T14:34:09Z,DATAREDIS-569 - Prepare 2.0 development.
2016-11-03T17:56:49Z,DATAREDIS-557 - Updated changelog.
2016-10-12T14:34:13Z,DATAREDIS-528 - Polishing.
2016-10-12T13:45:38Z,DATAREDIS-528 - Upgrade to Lettuce 4.2.2.
2016-10-12T13:07:13Z,DATAREDIS-553 - Polishing.
2016-10-12T13:07:09Z,DATAREDIS-553 - Support caching null values via RedisCache using callable.
2016-10-12T13:06:59Z,DATAREDIS-553 - Support caching null values via RedisCache.
2016-10-07T09:31:14Z,DATAREDIS-542 - Polishing.
2016-10-07T09:30:50Z,DATAREDIS-542 - Fix key expiration for RedisCache.putIfAbsent.
2016-10-05T07:24:45Z,DATAREDIS-558 - Use version range for SLF4J in OSGi manifest template.
2016-09-29T12:42:12Z,DATAREDIS-555 - Updated changelog.
2016-09-29T09:42:11Z,DATAREDIS-556 - Updated changelog.
2016-09-21T06:09:10Z,DATAREDIS-554 - Updated changelog.
2016-09-21T06:09:06Z,DATAREDIS-522 - Updated changelog.
2016-09-13T13:43:28Z,DATAREDIS-533 - Polishing.
2016-09-13T13:43:28Z,DATAREDIS-533 - Add support for geo indexes.
2016-09-13T08:10:23Z,DATAREDIS-551 - Polishing.
2016-09-13T08:10:16Z,DATAREDIS-551 - Fix pageable query execution when derived criteria is empty.
2016-09-12T12:53:07Z,DATAREDIS-547 - Polishing.
2016-09-12T12:52:51Z,DATAREDIS-547 - Fix query execution when derived criteria is empty.
2016-09-05T09:24:00Z,DATAREDIS-531 - Polishing.
