date,summary
2017-04-11T12:56:07Z,RedisSystemException on searching by 2 indexed fields
2017-04-03T17:28:43Z,Syntax for map index
2017-03-22T13:44:32Z,RedisServer.getNumberOtherSentinels() should read num-other-sentinels property
2017-03-09T10:15:35Z,RedisCache get should return null if cache miss occurs.
2017-03-06T17:14:19Z,Access to Spring Data Key prefix programmatically
2017-03-01T11:31:44Z,JedisConnection.scan releases the connection instance to the pool
2017-02-15T09:45:59Z,JedisCluster exception conversion produces NullPointerException on cache put operation
2017-02-09T08:11:04Z,Confusing @Transactional example 
2017-02-09T07:33:14Z,Transactions - read-only operations are also queued 
2017-01-25T18:17:18Z,NullPointerException with Jedis and sync=true
2017-01-19T15:36:00Z,Enums with a customized toString method cannot be deserialized from byte[]
2017-01-16T19:03:55Z,"RedisCache.get(Object, Callable) does not set the TTL on the element"
2017-01-06T18:39:02Z,Publishing RedisKeyExpiredEvent from other than Repository support causes NullPointerException in RedisKeyValueAdapter
2017-01-03T18:11:51Z,Cluster set operation with ttl using jedis in spring-data-redis goes through executeCommandOnSingleNode causing topology refresh
2016-12-20T19:31:45Z,Set method does not return call result
2016-12-12T08:59:03Z,Allow clients of RedisCache to opt-out of locking behaviour
2016-12-11T10:34:02Z,RedisCache::waitForLock() cannot be interrupted
2016-12-02T09:00:03Z,Cannot use user defined types as `id` property.
2016-11-15T07:40:04Z,A NullPointerException is thrown when listen the key expire event
2016-11-11T19:41:28Z,Lock expiration
2016-11-07T17:46:45Z,Null Elements Returned By CrudRepository.findAll() for Expired Keys
2016-10-16T04:22:52Z,save (update) operation on repository deletes the key and inserts it back
2016-10-02T05:15:35Z,spring-data-redis - Cannot install in OSGi due import range of slf4j is locked down to 1.7.12 version
2016-09-16T07:45:17Z,Support caching null values via RedisCache
2016-09-12T14:56:55Z,NPE when counting keys while invoking findBy(Pageable)
2016-08-30T12:13:58Z,ScanCursor holds reference to closed/released lettuce connection
2016-08-24T07:15:47Z,Connection should be released when used with read-only transactions
2016-08-23T14:09:54Z,Getting NPE when writing valid Query Method without any criteria
2016-08-09T08:51:29Z,findBy[field] methods always return the same after first call
