name,release_date,released
1.0.0.M1,2010-12-14,1
1.0.0.M2,2011-02-10,1
1.0.0.M3,2011-04-06,1
1.0.0.M4,2011-07-18,1
1.0.0.RC1,2011-10-19,1
1.0.0 GA,2011-12-14,1
1.0.1,2012-06-27,1
1.0.2,2012-10-10,1
1.0.3,2013-02-13,1
1.0.4,2013-04-24,1
1.0.5,2013-07-02,1
1.1.0.M1,2013-07-02,1
1.1.0.M2,2013-08-06,1
1.0.6,2013-08-06,1
1.1.0.RC1,2013-08-22,1
1.1.0,2013-09-10,1
1.1.1,2014-01-29,1
1.2.0.RC1,2014-02-19,1
1.2.0,2014-03-04,1
1.2.1,2014-03-27,1
1.3 M1 (Dijkstra),2014-03-31,1
1.3 RC1 (Dijkstra),2014-05-02,1
1.3 GA (Dijkstra),2014-05-20,1
1.3.1 (Dijkstra SR1),2014-06-30,1
1.4 M1 (Evans),2014-07-10,1
1.3.2 (Dijkstra SR2),2014-07-28,1
1.4 RC1 (Evans),2014-08-13,1
1.3.4 (Dijkstra SR4),2014-08-27,1
1.4 GA (Evans),2014-09-05,1
1.4.1 (Evans SR1),2014-10-31,1
1.5 M1 (Fowler),2014-12-01,1
1.3.5 (Dijkstra SR5),2015-01-27,1
1.4.2 (Evans SR2),2015-01-28,1
1.5 RC1 (Fowler),2015-03-05,1
1.5 GA (Fowler),2015-03-23,1
1.6 M1 (Gosling),2015-06-02,1
1.5.1 (Fowler SR1),2015-07-01,1
1.4.3 (Evans SR3),2015-07-01,1
1.3.6 (Dijkstra SR6),2015-07-01,1
1.5.2 (Fowler SR2),2015-07-28,1
1.6 RC1 (Gosling),2015-08-04,1
1.6 GA (Gosling),2015-09-01,1
1.4.4 (Evans SR4),2015-10-14,1
1.6.1 (Gosling SR1),2015-11-15,1
1.6.2 (Gosling SR2),2015-12-18,1
1.7 M1 (Hopper),2016-02-12,1
1.6.4 (Gosling SR4),2016-02-23,1
1.7 RC1 (Hopper),2016-03-18,1
1.7 GA (Hopper),2016-04-06,1
1.7.1 (Hopper SR1),2016-04-06,1
1.7.2 (Hopper SR2),2016-06-15,1
1.8 M1 (Ingalls),2016-07-27,1
1.6.5 (Gosling SR5),2016-09-20,1
1.7.3 (Hopper SR3),2016-09-20,1
1.7.4 (Hopper SR4),2016-09-29,1
1.6.6 (Gosling SR6),2016-09-29,1
