date,summary
2017-04-11T21:49:57Z,org.springframework.jdbc.datasource.init.ScriptUtils#splitSqlScript cannot deal with semicolons in stored procedures
2017-04-11T21:21:12Z,Eclispe Neon does not display spring project after Install spring IDE from market place
2017-04-11T11:28:25Z,"AbstractGenericHttpMessageConverter.canWrite(Type, Class, MediaType) doesn't call canWrite(Class, MediaType) anymore"
2017-04-11T08:31:09Z,"UnknownHostException not accepted as ""resource not found"" anymore"
2017-04-11T08:23:04Z,Wrong @ControllerAdvice annottated exception handler choosen for @RestControroller
2017-04-10T14:20:42Z,ForwardedHeaderFilter.ForwardedHeaderRequestWrapper does not preserve ;
2017-04-10T09:09:51Z,null-property property from application.yml is mapped to empty String
2017-04-07T18:56:42Z,ForwardedHeaderRequestWrapper should return a new StringBuffer instance on each invocation of the getRequestURL method
2017-04-07T18:54:27Z,ForwardedHeaderFilter.ForwardedHeaderRequestWrapper does not preserve encoding of requestURI
2017-04-06T19:04:52Z,NPE thrown by WriteResultPublisher$State$2.publishComplete caused by a thread-safety issue
2017-04-05T13:14:10Z,Use ServerCodecConfigurer in HandlerStrategies
2017-04-05T12:18:14Z,SimpleBrokerMessageHandler SubscriptionRegistry DestinationCache doesn't honour unique subscriptionId
2017-04-04T18:24:01Z,ISE is thrown when the client disconnects while the server is still sending the response
2017-04-04T15:21:08Z,UrlResource getFilename should not contain query parameters
2017-04-04T13:42:49Z,Awkward binary incompatibility in ResponseBodyEmitterReturnValueHandler
2017-04-03T22:51:33Z,SettableListenableFuture setException is inconsistent with callbacks under race
2017-04-03T05:32:57Z,Unable to set Content-Type in error page handler on WebSphere 9
2017-03-30T12:07:35Z,Caching of cache meta data causes classes to not be unloadable as when factory is closed this data is not removed
2017-03-29T14:38:42Z,responseReason is null
2017-03-28T11:06:04Z,NPE thrown by AbstractListenerWriteFlushProcessor.cancel
2016-08-09T09:48:24Z,JDBCTemplate queryForObject returning an empty list with null values
2015-04-24T11:41:41Z,HHH000008 if using Hibernate 4.3.7.Final
2016-10-09T20:11:48Z,JdbcTemplate.queryForRowSet does not work in case of nested SELECT clause on MySQL
2017-03-25T19:50:04Z,Spring classes and application proxies not collected after closing context
2017-03-23T13:43:27Z,NullPointerException can happen in HttpRequestMethodNotSupportedException.getSupportedHttpMethods()
2017-03-23T12:36:15Z,TransactionAwareDataSourceProxy.unwrap returns the proxy itself
2017-03-22T21:15:38Z,CharSequenceEncoder should support all media types
2017-03-22T10:20:19Z,VersionResourceResolver does not delegate path resolution to the chain
2017-03-22T10:08:54Z,BeanValidations Error Out on Getters that return an Optional<>
2017-03-21T11:55:33Z,Regression: CssLinkResourceTransformer is now incompatible with relative links
2017-03-20T15:16:20Z,Generic type is not used sometimes
2017-03-17T20:56:14Z,ResourceRegionHttpMessageWriter should not use the response content-type
2017-03-17T20:47:45Z,Content-type resolution issue in EncoderHttpMessageWriter
2017-03-17T15:09:12Z,StringToCollectionConverter splits string by comma
2017-03-16T15:08:24Z,Autowired for collection work incorrect
2017-03-11T19:59:18Z,Undertow ZeroCopyHttpOutputMessage exception
2017-03-09T20:54:17Z,Spring - JdbcTemplate - query with CTE and enumerated rows
2017-03-09T15:12:19Z,"HEAD response has ""Content-Length: 0"" for @RestController @GetMapping methods"
2017-03-09T07:49:23Z,Hibernate Envers listeners fail because EntityManager is closed too early when using JPA/JTA/Hibernate 5.2.8/Envers
2017-03-08T18:13:28Z,PathMatchingResourcePatternResolver fails to work under Tomcat 8.0.41 with unpackWARs=false
2017-03-08T16:37:13Z,Make formatter value configurable through Spring EL/Property PlaceHolder
2017-03-08T11:11:17Z,Load Time Weaving not working after upgrading Tomcat from 7.0.60 to 7.0.70
2017-03-07T20:42:39Z,UriComponentsBuilder fromHttpRequest breaks with relative URIs
2017-03-07T18:31:16Z,java.lang.IllegalArgumentException: No enum constant org.springframework.messaging.simp.stomp.StompCommand.SUBSCRIBE
2017-03-04T14:20:32Z,@ExceptionHandler is not invoked for GET requests
2017-03-03T22:34:52Z,ContentNegotiationStrategy.resolveMediaTypes should process all strategies before returning
2017-03-03T21:21:39Z,SimpleMetadataReader fails to read meta-annotations with non-loadable attribute classes
2017-03-02T22:41:40Z,Spring WebFlux using Kotlin with RouterDsl nested mappings not matching
2017-03-02T13:22:09Z,WebFlux SSE controller does not detect disconnected client
2017-03-02T10:55:26Z,BeanCurrentlyInCreationException with no circular reference
2017-03-02T10:44:53Z,Unable to resolve persistence unit root URL with LocalContainerEntityManagerFactoryBean
2017-03-01T17:46:39Z,When using ParsingPathMatcher in MVC user should not have to also explicitly set suffix matching
2017-03-01T15:33:16Z,DateTimeFormat does not recognise ISO8601 formatted strings
2017-02-28T11:07:14Z,connection timeout is not working with rest template -- InterceptingClientHttpRequestFactory
2017-02-24T15:27:52Z,@MessageMapping does not work with Spring Security and MVC
2017-02-24T10:15:19Z,Cannot receive message sometimes with SimpleBrokerMessageHandler
2017-02-23T08:10:05Z,http://repo.spring.io hangs
2017-02-22T17:26:02Z,ConfigurationProperties fails to bind a map with a value of an empty map
2017-02-21T15:45:35Z,@Configuration processing fails to handle AbstractFactoryBean.getObject() calls
2017-02-21T06:47:39Z,LocaleChangeInterceptor not working before I login
2017-02-20T14:06:03Z,@Retryable won't work as expected with exclude
2017-02-17T15:42:15Z,OpenTracing: Embedded Boot `/error` invoked after processing in filter
2017-02-17T09:11:49Z,PathPatternParser matches root path against path variable
2017-02-16T21:49:43Z,Mulltimap update bug
2017-02-16T15:48:20Z,"HEAD response has ""Content-Length: 0"" for @RestController @GetMapping methods"
2017-02-15T22:10:38Z,StringIndexOutOfBoundsException in PathPattern.extractPathWithinPattern
2017-02-14T13:07:05Z,Different handling in PathEditor in Servlet Context for existing and non-existing paths
2017-02-14T08:51:47Z,RestTemplate with MockMvcClientHttpRequestFactory double encodes URIs
