name,release_date,released
2.0.4,2007-04-09,1
2.0.5,2007-05-06,1
2.0.6,2007-06-17,1
2.0.7,2007-09-30,1
2.0.8,2008-01-07,1
2.0.9,2008-10-31,1
2.1 M1,2007-05-12,1
2.1 M2,2007-05-30,1
2.1 M3,2007-07-30,1
2.1 M4,2007-09-08,1
2.5 RC1,2007-10-22,1
2.5 RC2,2007-11-11,1
2.5 final,2007-11-18,1
2.5.1,2008-01-08,1
2.5.2,2008-02-28,1
2.5.3,2008-04-05,1
2.5.4,2008-04-27,1
2.5.5,2008-06-22,1
2.5.6,2008-10-30,1
3.0 M1,2008-12-04,1
3.0 M2,2009-02-24,1
3.0 M3,2009-05-05,1
3.0 M4,2009-08-09,1
3.0 RC1,2009-09-24,1
3.0 RC2,2009-11-12,1
3.0 RC3,2009-11-30,1
3.0 GA,2009-12-15,1
3.0.1,2010-02-17,1
3.0.2,2010-04-01,1
3.0.3,2010-06-14,1
3.0.4,2010-08-18,1
3.0.5,2010-10-19,1
3.0.6,2011-08-18,1
3.0.7,2011-12-22,1
3.1 M1,2011-02-11,1
3.1 M2,2011-06-08,1
3.1 RC1,2011-10-11,1
3.1 RC2,2011-11-28,1
3.1 GA,2011-12-12,1
3.1.1,2012-02-16,1
3.1.2,2012-07-07,1
3.1.3,2012-10-31,1
3.1.4,2013-01-23,1
3.2 M1,2012-05-29,1
3.2 M2,2012-09-11,1
3.2 RC1,2012-11-04,1
3.2 RC2,2012-11-27,1
3.2 GA,2012-12-13,1
3.2.1,2013-01-24,1
3.2.2,2013-03-14,1
3.2.3,2013-05-21,1
3.2.4,2013-08-06,1
3.2.5,2013-11-06,1
3.2.6,2013-12-12,1
3.2.7,2014-01-28,1
3.2.8,2014-02-18,1
3.2.9,2014-05-20,1
3.2.10,2014-07-15,1
3.2.11,2014-09-04,1
3.2.12,2014-11-11,1
3.2.13,2014-12-30,1
3.2.14,2015-06-30,1
3.2.15,2015-10-15,1
3.2.16,2015-12-17,1
3.2.17,2016-05-06,1
3.2.18,2016-12-21,1
4.0 M1,2013-05-21,1
4.0 M2,2013-07-24,1
4.0 M3,2013-08-30,1
4.0 RC1,2013-10-31,1
4.0 RC2,2013-12-03,1
4.0 GA,2013-12-12,1
4.0.1,2014-01-28,1
4.0.2,2014-02-18,1
4.0.3,2014-03-26,1
4.0.4,2014-04-30,1
4.0.5,2014-05-20,1
4.0.6,2014-07-08,1
4.0.7,2014-09-04,1
4.0.8,2014-11-11,1
4.0.9,2014-12-30,1
4.1 RC1,2014-07-21,1
4.1 RC2,2014-08-15,1
4.1 GA,2014-09-04,1
4.1.1,2014-10-01,1
4.1.2,2014-11-11,1
4.1.3,2014-12-09,1
4.1.4,2014-12-30,1
4.1.5,2015-02-20,1
4.1.6,2015-03-25,1
4.1.7,2015-06-30,1
4.1.8,2015-10-15,1
4.1.9,2015-12-17,1
4.2 RC1,2015-05-26,1
4.2 RC2,2015-06-30,1
4.2 RC3,2015-07-15,1
4.2 GA,2015-07-31,1
4.2.1,2015-09-01,1
4.2.2,2015-10-15,1
4.2.3,2015-11-15,1
4.2.4,2015-12-17,1
4.2.5,2016-02-25,1
4.2.6,2016-05-06,1
4.2.7,2016-07-04,1
4.2.8,2016-09-19,1
4.2.9,2016-12-21,1
4.3 RC1,2016-04-06,1
4.3 RC2,2016-05-06,1
4.3 GA,2016-06-10,1
4.3.1,2016-07-04,1
4.3.2,2016-07-28,1
4.3.3,2016-09-19,1
4.3.4,2016-11-08,1
4.3.5,2016-12-21,1
4.3.6,2017-01-25,1
4.3.7,2017-03-01,1
4.3.8,2017-04-18,0
4.3.9,2017-06-20,0
5.0 M1,2016-07-28,1
5.0 M2,2016-09-21,1
5.0 M3,2016-11-08,1
5.0 M4,2016-12-30,1
5.0 M5,2017-02-23,1
5.0 RC1,2017-04-25,0
5.0 RC2,2017-05-23,0
5.0 GA,2017-06-20,0
